OBA_ID	Sample_ID	Station	Depth	Size fraction	Latitude	Longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
1	TARA_N010000322	TARA_173	DCM	[180-2000µm]	78.9319	79.0846	TARA_173_DCM_180-2000	TARA_173	ERS1308754		SAMEA4397305	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000322	2013-07-08T14:18	-87	-1.298275	34.453663	27.72155	102.636	5.78055	33	0.801038	350.87925	4.315962	0.001215531	0.004081616	0.020618707	6.240898371			81.824172973633	0.00036040117265657	0.0037	1.3839		0	0.0542		0.026	0.209065	1.709	0.231772	15	47	19	14	47	46							0.0862	0	1.3839	0	0.0047	0.0188	0.0052	0	78.9319	79.0846	1.181939274	summer	early		0	4.833333
2	TARA_N010000118	TARA_194	DCM	[180-2000µm]	73.3626	-168.693	TARA_194_DCM_180-2000	TARA_194	ERS1309346		SAMEA4397897	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000118	2013-09-12T02:24	-107	-0.987833	31.56495	25.370225	394.524	0.6449	35		396.848083	0	0.000713809	0.002943427	0.086454551	12.09370343					0.0017	0.2799		0	0.0212		0.441	0.866194	1.9045	5.566842	14	30	10	25	81	39							0.03095	0	0.2799	0.0065	0.0096	0.007	0.0026	0	73.3626	-168.6933	0	summer	late		0	0
3	TARA_N010000650	TARA_158	SRF	[20-180µm]	67.1179	0.392	TARA_158_SRF_20-180	TARA_158	ERS1308404		SAMEA4396955	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	TARA_N010000650	2013-06-03T11:04	-3412	8.47447	35.145165	27.314165	520.3413	2.3802	5	12.286418	311.7827	5.218798	0.000599484	0.023701385	0.03278591	5.405942082			118.37269210815	0.00080498616443947	0	0.1674		0.02345	0.00185	7.852	0.13475	0.356899	5.1155	4.012069	10	14	7	14	46	519							0.15425	0.00585	0.1674	0.01245	0.7665	0.0175	0.00295	0	67.1179	0.392	0	spring	late	0.189385	0.121118	0
4	TARA_N010000618	TARA_155	DCM	[180-2000µm]	54.5237	-16.6827	TARA_155_DCM_180-2000	TARA_155	ERS1307974		SAMEA4396525	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NADR] North Atlantic Drift Province (MRGID:21453)	TARA_N010000618	2013-05-25T12:02	-2387	10.79018	35.335155	27.07531	416.0348	1.22367	40	0.781417	266.473125	7.129639	0.000426156	0.007189205	0.010129768	0.689068984			55.75306892395	0.00019321933359606	0.0004	0.0298		0.0044	0.0121		0.071	0.566253	10.158	3.554362	31	54	32	16	743	1021							0.0083	0.002	0.0298	0.0006	0.0076	0.0011	0.0006	0	54.5237	-16.6827	0	spring	late	0.157922	0.101888	0
5	TARA_N010000951	TARA_210	SRF	[>0.8µm]	61.5427	-55.9869	TARA_210_SRF_0.8->	TARA_210	ERS1309821		SAMEA4398372	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000951	2013-10-27T10:16	-2770	5.295265	34.212769	27.017281	41.4855	1.01295	5	1.704362	293.84675	8.286479	0.000208521	0.035179306	0.348001957	2.06166782					0.00775	0.1275		0.04545	0.0063		0.31575	0.511975	5.8035	2.252584	147	23	82	14	135	95							0.065875	0.054125	0.1275	0.022125	0.13335	0.027975	0.0075	0.001	61.5427	-55.9869	0	autumn	middle	0.215913	0.078105	0
6	TARA_N010000308	TARA_209	SRF	[0.8-20µm]	64.7127	-53.0106	TARA_209_SRF_3-20	TARA_209	ERS1309753		SAMEA4398304	SEQ-(10-100L-or-15min)_W3-20	SRF	[SRF] surface water layer (ENVO:00010504)	3	20	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000308	2013-10-23T10:25	-489	2.496125	32.603119	26.011175	15.6846	1.325775	5	1.224595	323.901563	6.131005	0.000488831	0.029433576	0.29848822	0.505696426															17	18	94	15	498	498															64.7127	-53.0106	0	autumn	early	-0.050291	0	5.666667
7	TARA_N010000582	TARA_155	SRF	[>0.8µm]	54.5305	-16.9377	TARA_155_SRF_0.8->	TARA_155	ERS1307876		SAMEA4396427	SEQ-(100L-or-15min)_W>0.8	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	>0.80	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NADR] North Atlantic Drift Province (MRGID:21453)	TARA_N010000582	2013-05-24T05:36	-2484	11.09547	35.32522	27.01156	147.2155	0.83187	5	14.83323	271.064125	4.467439	0.000426156	0.007189205	0.010129768	0.689068984			51.89796257019	0.00018543519399827	0.00735	0.1019		0.01065	0.02345	7.948	0.237125	0.401861	8.035625	0.967928	64	28	37	16	720	561							0.0261	0.00535	0.1019	0.01875	0.06095	0.00925	0.0085	0.0007	54.5305	-16.9377	0	spring	early	0.157922	0.101888	0
8	TARA_N010000135	TARA_196	SRF	[180-2000µm]	71.912	-154.915	TARA_196_SRF_180-2000	TARA_196	ERS1309407		SAMEA4397958	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000135	2013-09-14T19:20	-495	2.5694	28.60925	22.8182	145.0122	0.9741	5		336.04075	1.604622	0.000241071	0.0284539	0.258621321	3.979379679					0.02025	0.22775		0.00885	0.00425	7.913	0.0865	0.430504	0.4235	2.822912	14	14	21	27	173	43							0.03165	0.0202	0.22775	0.0429	0.024	0.02815	0.0049	0.0056	71.912	-154.9145	0	summer	late		0	0
9	TARA_N010000628	TARA_158	DCM	[>0.8µm]	67.161	0.3964	TARA_158_DCM_0.8->	TARA_158	ERS1308424		SAMEA4396975	SEQ-(100L-or-15min)_W>0.8	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	>0.80	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	TARA_N010000628	2013-06-03T15:27	-3412	6.73489	35.15072	27.572895	520.3413	1.164637	25		304.0473	8.063879	0.000599484	0.023701385	0.03278591	5.405942082			113.41928863525	0.00077464251080528	0.0021	0.0482		0.0165	0		0.309	0.709183	11.784	4.95809	10	14	7	14	46	519							0.026	0.0055	0.0482	0.009	0.0453	0.0065	0.0023	0	67.161	0.3964	0	spring	late	0.189385	0.121118	0
10	TARA_N010000174	TARA_201	SRF	[180-2000µm]	74.3253	-85.9172	TARA_201_SRF_180-2000	TARA_201	ERS1309488		SAMEA4398039	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	TARA_N010000174	2013-09-30T18:04	-540	-1.32986	30.70185	24.678167	21.643	1.13016	5	2.980184	368.52475	3.75923	0.000958759	0.000747411	0.010224308	6.634556611					0.0038	0.3843		0.0088	0.071	7.802	0.0775	0.526245	1.328	2.062045	16	28	4	15	297	297							0.0428	0	0.3843	0.0129	0.0495	0	0.0044	0	74.3253	-85.9172	0.287379599	autumn	early		0	0
